RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
779	http://www.torrentdownloads.net/	83%	71%	4.2s	4.2s	71	487KB
780	http://www.izlesene.com/	57%	57%	9.4s	10.3s	161	5.09MB
781	http://www.studivz.net/	73%	55%	3.9s	4.9s	82	498KB
782	http://www.hilton.com/	42%	40%	8.7s	23.8s	277	2.09MB
783	http://www.vietbao.vn/	62%	49%	32.6s	32.6s	241	3.72MB
784	http://www.kayak.com/	57%	75%	4.0s	18.8s	223	2.45MB
785	http://www.zappos.com/	62%	87%	2.8s	5.2s	125	1.70MB
786	http://www.realtor.com/	64%	61%	2.8s	5.6s	114	1.36MB
787	http://www.oadz.com/	62%	60%	6.6s	6.6s	50	1.69MB
788	http://www.123people.com/	94%	87%	4.3s		29	1.04MB
789	http://www.abchina.com/	63%	64%	7.9s	7.9s	74	2.49MB
790	http://www.hurra.com/	54%	56%	5.6s	5.9s	105	1.37MB
791	http://www.slide.com/	90%	95%	0.7s		4	2.94KB
792	http://www.allexperts.com/	90%	74%	1.6s	2.9s	29	377KB
793	http://www.aa.com/	55%	50%	7.6s	10.9s	166	1.79MB
794	http://www.uuu9.com/	31%	46%	13.1s	13.1s	339	4.45MB
795	http://www.symantecstore.com/	51%	48%	5.2s	17.3s	208	1.90MB
796	http://www.cricinfo.com/	62%	64%	6.7s	26.6s	219	3.65MB
797	http://www.52pk.com/	33%	67%	7.9s	8.7s	209	7.38MB
798	http://www.go2000.com/	83%	86%	10.8s		42	154KB
799	http://www.searchignite.com/	99%	100%	167ms		1	268B
800	http://www.chinadaily.com.cn/	26%	63%	3.8s	3.8s	75	3.24MB
801	http://www.newegg.com/	46%	44%	7.2s	14.5s	289	3.23MB
802	http://www.timeanddate.com/	68%	55%	4.9s	6.1s	133	708KB
803	http://www.direct.gov.uk/	91%	91%	1.6s	1.6s	26	454KB
804	http://www.pctools.com/	52%	47%	4.7s	19.2s	254	2.24MB
805	http://www.27.cn/	77%	60%	6.1s	6.1s	20	384KB
806	http://www.tgbus.com/	20%	53%	11.5s	11.5s	177	4.97MB
807	http://www.fc2web.com/	68%	72%	0.7s	0.7s	28	87.3KB
808	http://www.mozdev.org/	80%	70%	1.2s	1.2s	34	235KB
809	http://www.marca.com/	30%	39%	19.2s	31.7s	643	3.03MB
810	http://www.udn.com/	39%	48%	7.5s	9.5s	208	2.78MB
811	http://www.amazon.fr/	52%	82%	3.4s	23.6s	323	6.22MB
812	http://www.weblio.jp/	51%	52%	5.1s	10.8s	210	1.30MB
813	http://www.changyou.com/	90%	73%	3.8s	3.8s	29	676KB
814	http://www.daily.co.jp/	28%	40%	17.9s	21.9s	590	2.64MB
815	http://www.thefind.com/	84%	81%	1.2s		38	553KB
816	http://www.nttdocomo.co.jp/	47%	56%	5.0s	7.1s	201	1.00MB
817	http://www.kohls.com/	36%	52%	3.6s	24.4s	469	2.79MB
818	http://www.walkerplus.com/	52%	50%	5.8s	6.5s	155	2.35MB
819	http://www.babycenter.com/	59%	52%	5.9s	8.2s	202	1.29MB
820	http://www.ow.ly/	59%	55%	4.5s	5.7s	112	626KB
821	http://www.webgame188.com/	87%	85%	10.0s		53	1.02MB
822	http://www.toocle.com/	88%	81%	12.3s	12.3s	8	120KB
823	http://www.webcrawler.com/	100%	97%	0.7s	0.8s	8	20.1KB
824	http://www.stackoverflow.com/	76%	64%	2.4s	18.5s	72	804KB
825	http://www.ekolay.net/	20%	48%	10.5s	29.4s	761	6.57MB
826	http://www.kuronekoyamato.co.jp/	65%	73%	2.0s	2.0s	22	1.40MB
827	http://www.vzw.com/	67%	55%	5.9s	13.0s	144	2.08MB
828	http://www.buzznet.com/	38%	56%	4.4s	16.4s	198	6.08MB
829	http://www.wetter.com/	46%	40%	13.9s	15.2s	345	2.05MB
830	http://www.dospy.com/	19%	73%	4.2s	4.2s	133	5.50MB
831	http://www.fidelity.com/	61%	62%	1.9s	6.8s	131	1.11MB
832	http://www.gismeteo.ru/	74%	59%	7.2s	14.7s	137	0.98MB
833	http://www.ft.com/	72%	54%	5.9s	20.3s	129	1.30MB
834	http://www.freedownloadscenter.com/	67%	83%	2.2s	2.2s	51	731KB
835	http://www.smarter.co.jp/	86%	74%	2.1s		77	763KB
836	http://www.bidders.co.jp/	87%	70%	1.1s	1.1s	18	105KB
837	http://www.tesco.com/	90%	70%	3.6s	6.8s	44	1.39MB
838	http://www.azlyrics.com/	43%	42%	10.6s	12.3s	388	1.48MB
839	http://www.legacy.com/	17%	75%	4.4s	7.0s	120	4.61MB
840	http://www.tf1.fr/	50%	49%	8.9s	12.0s	213	2.09MB
841	http://www.nhl.com/	56%	48%	13.6s	28.3s	232	3.31MB
842	http://www.mycom.co.jp/	43%	68%	4.3s	5.2s	114	2.50MB
843	http://www.rtl.de/	39%	44%	23.3s	37.1s	330	3.46MB
844	http://www.hankyung.com/	19%	49%	11.2s	24.3s	206	3.94MB
845	http://www.edeng.cn/	62%	72%	9.1s	12.2s	39	926KB
846	http://www.immobilienscout24.de/	67%	54%	10.6s	12.5s	138	1.46MB
847	http://www.gigazine.net/	63%	53%	8.3s	9.1s	111	1.21MB
848	http://www.marketwatch.com/	44%	39%	27.4s	47.4s	453	2.98MB
849	http://www.xuite.net/	51%	62%	8.0s	22.8s	176	2.11MB
850	http://www.techcrunch.com/	36%	39%	19.7s	36.5s	600	3.73MB
851	http://www.inowdownload.com/	96%	79%	2.1s	2.1s	19	265KB
852	http://www.kooora.com/	59%	58%	6.4s	10.5s	230	2.20MB
853	http://www.zdnet.com/	41%	86%	2.1s	21.7s	424	3.93MB
854	http://www.causes.com/	70%	66%	3.4s	4.4s	74	1.87MB
855	http://www.imagebam.com/	74%	69%	1.5s	1.5s	20	271KB
856	http://www.thesaurus.com/	50%	51%	14.7s	27.4s	296	2.32MB
857	http://www.boc.cn/	61%	74%	33.7s	33.7s	73	732KB
858	http://www.kapook.com/	12%	43%	42.7s	43.5s	971	9.01MB
859	http://www.argos.co.uk/	60%	57%	3.8s	13.4s	166	2.65MB
860	http://www.kp.ru/	26%	41%	30.2s	46.0s	532	3.92MB
861	http://www.uniblue.com/	66%	63%	3.0s	3.9s	111	1.14MB
862	http://www.boosj.com/	49%	51%	10.1s	19.1s	123	2.88MB
863	http://www.meebo.com/	96%	86%	1.5s	1.5s	20	401KB
864	http://www.redtram.com/	88%	70%	3.5s	3.6s	25	620KB
865	http://www.qianlong.com/	33%	44%	12.4s	18.0s	241	6.58MB
866	http://www.top100.cn/	64%	61%	14.6s	14.6s	98	1.69MB
867	http://www.ancestry.com/	65%	90%	2.3s	6.7s	170	1.13MB
868	http://www.pricegrabber.com/	82%	64%	1.6s	14.2s	46	883KB
869	http://www.pkr.com/	96%	85%	0.9s	0.9s	7	23.1KB
870	http://www.php.net/	95%	82%	1.0s	1.5s	28	677KB
871	http://www.ea.com/	54%	60%	9.5s	11.0s	113	4.94MB
872	http://www.rutube.ru/	73%	69%	6.2s	7.9s	109	4.45MB
873	http://www.qingdaonews.com/	0%	52%	11.6s	12.5s	193	11.9MB
874	http://www.sbs.co.kr/	49%	49%	4.6s	4.7s	88	2.71MB
875	http://www.shvoong.com/	79%	89%	1.9s	2.1s	28	231KB
876	http://www.ilike.com/	18%	45%	6.5s	25.1s	374	6.04MB
877	http://www.kaspersky.com/	58%	90%	1.5s	18.6s	189	1.83MB
878	http://www.bigfishgames.com/	59%	68%	2.3s	4.2s	92	1.84MB
879	http://www.xing.com/	91%	79%	3.7s	6.3s	40	430KB
880	http://www.taotao.com/	100%	100%	0.5s	0.6s	1	1.53KB
881	http://www.sing365.com/	77%	55%	6.9s	6.9s	79	476KB
882	http://www.51mole.com/	94%	68%	37.0s		75	7.73MB
883	http://www.tweetphoto.com/	69%	80%	48.6s		165	4.02MB
884	http://www.bloomberg.com/	46%	52%	18.7s	38.3s	310	4.43MB
885	http://www.newhua.com/	0%	61%	9.9s	9.9s	102	11.3MB
886	http://www.2000y.net/	92%	77%	44.0s	44.1s	27	492KB
887	http://www.asiae.co.kr/	54%	52%	6.0s	6.0s	126	2.67MB
888	http://www.aolnews.com/	30%	41%	28.9s	45.7s	436	4.01MB
889	http://www.bdr130.net/	100%	98%	307ms		1	1.28KB
890	http://www.picktorrent.com/	71%	53%	5.8s	7.0s	47	448KB
891	http://www.pixmania.com/	94%	93%	2.6s	3.3s	13	568KB
892	http://www.wired.com/	26%	46%	10.8s	30.9s	606	5.68MB
893	http://www.juchang.com/	72%	75%	7.3s	27.0s	177	18.8MB
894	http://www.vatgia.com/	71%	55%	11.7s	12.0s	80	2.90MB
895	http://www.divx.com/	69%	58%	4.9s	4.9s	45	1.56MB
896	http://www.ana.co.jp/	34%	56%	6.5s	11.0s	310	2.20MB
897	http://www.fandango.com/	39%	51%	8.4s	24.4s	296	2.53MB
898	http://www.seoul.co.kr/	16%	50%	11.2s	11.3s	185	4.60MB
899	http://www.appspot.com/	86%	96%	1.6s	1.6s	12	96.2KB
900	http://www.fetion.com.cn/	73%	61%	9.4s	10.2s	48	29.6MB
901	http://www.bandoo.com/	74%	60%	2.4s	2.4s	63	3.26MB
902	http://www.city-data.com/	70%	55%	3.0s	3.0s	95	1.50MB
903	http://www.wisegeek.com/	89%	72%	1.7s	2.2s	39	814KB
904	http://www.ocnk.net/	29%	46%	7.5s	10.1s	159	6.08MB
905	http://www.hunantv.com/	67%	61%	7.8s	8.1s	105	4.53MB
906	http://www.kijiji.ca/	69%	51%	11.0s	30.4s	196	3.34MB
907	http://www.cnki.net/	53%	70%	15.6s	18.8s	61	1.31MB
908	http://www.panasonic.jp/	26%	49%	4.2s	8.5s	187	4.79MB
909	http://www.allocine.fr/	51%	83%	1.9s	21.4s	271	1.90MB
910	http://www.chinahr.com/	78%	69%	4.4s	5.7s	89	1.42MB
911	http://www.emagister.com/	38%	66%	4.3s	8.4s	208	2.28MB
912	http://www.manta.com/	90%	67%	8.0s		147	4.26MB
913	http://www.rayli.com.cn/	14%	53%	15.5s	15.5s	245	14.0MB
914	http://www.asahi-net.or.jp/	89%	82%	3.7s	3.7s	47	1.64MB
915	http://www.dreamstime.com/	88%	68%	3.1s	3.7s	77	0.99MB
916	http://www.lastminute.com/	62%	63%	4.2s	10.0s	182	2.77MB
917	http://www.nick.com/	46%	53%	13.2s	15.7s	263	9.6MB
918	http://www.deezer.com/	74%	71%	3.4s	4.4s	64	1.56MB
919	http://www.bohelady.com/	90%	72%	12.0s		161	2.37MB
920	http://www.esmas.com/	33%	45%	11.1s	16.2s	348	2.93MB
921	http://www.vente-privee.com/	80%	77%	2.2s	3.8s	31	1.27MB
922	http://www.lyricsmode.com/	58%	57%	4.1s	18.0s	248	1.43MB
923	http://www.findarticles.com/	90%	74%	1.1s	2.4s	25	909KB
924	http://www.47news.jp/	28%	42%	14.4s	16.1s	272	2.97MB
925	http://www.staples.com/	92%	93%	1.3s	1.3s	13	51.6KB
926	http://www.songs.pk/	86%	76%	3.8s	4.6s	62	949KB
927	http://www.bomb-mp3.com/	73%	81%	9.7s		153	1.38MB
928	http://www.cqvip.com/	72%	66%	5.6s	6.4s	65	680KB
929	http://www.autoscout24.de/	67%	66%	4.4s	8.6s	134	1.78MB
930	http://www.victoriassecret.com/	80%	52%	6.6s	9.4s	131	3.34MB
931	http://www.acrobat.com/	48%	57%	5.2s	11.1s	219	1.97MB
932	http://www.national-lottery.co.uk/	68%	52%	6.4s	6.4s	120	943KB
933	http://www.mayoclinic.com/	79%	66%	2.1s	3.3s	59	1.58MB
934	http://www.zillow.com/	75%	86%	2.1s	7.8s	120	1.82MB
935	http://www.onemanga.com/	100%	99%	0.7s	0.7s	3	38.6KB
936	http://www.playsushi.com/	90%	90%	1.4s	1.5s	47	745KB
937	http://www.answerbag.com/	73%	63%	3.4s	4.6s	97	1.07MB
938	http://www.ukr.net/	72%	49%	6.2s	7.9s	116	1.44MB
939	http://www.citicards.com/	54%	43%	4.8s	23.5s	240	1.66MB
940	http://www.kaixin.com/	94%	84%	6.3s	6.3s	54	425KB
941	http://www.ju51.com/	52%	57%	9.8s	9.8s	86	2.68MB
942	http://www.kbs.co.kr/	48%	58%	4.5s	5.0s	114	6.26MB
943	http://www.toysrus.com/	39%	60%	22.4s	40.7s	344	5.85MB
944	http://www.freshwap.net/	98%	97%	474ms		4	92.9KB
945	http://www.vertor.com/	79%	73%	2.1s	2.1s	31	330KB
946	http://www.mahalo.com/	11%	70%	5.4s	8.0s	114	28.6MB
947	http://www.hurriyet.com.tr/	22%	48%	9.1s	27.7s	738	6.90MB
948	http://www.mercadolibre.com.ar/	89%	92%	1.3s	6.5s	118	2.47MB
949	http://www.bearshare.com/	99%	95%	1.7s	1.7s	3	2.16MB
950	http://www.zdface.com/	0%	59%	73.1s	73.1s	155	9.7MB
951	http://www.shangdu.com/	58%	70%	3.1s	3.3s	48	3.52MB
952	http://www.barbie.com/	27%	64%	5.0s	8.2s	125	4.59MB
953	http://www.interpark.com/	6%	45%	17.0s	31.3s	497	44.6MB
954	http://www.mizuhobank.co.jp/	48%	58%	6.6s	6.7s	140	2.04MB
955	http://www.hotwire.com/	73%	53%	8.7s	10.2s	119	1.47MB
956	http://www.kompas.com/	47%	47%	78.0s	78.2s	252	2.36MB
957	http://www.1link.ru/	53%	76%	4.4s		35	509KB
958	http://www.rising.com.cn/	57%	62%	7.3s	8.1s	41	1.71MB
959	http://www.blurtit.com/	88%	75%	3.5s	3.7s	115	0.97MB
960	http://www.newgrounds.com/	70%	65%	11.1s	11.1s	159	2.41MB
961	http://www.mundoanuncio.com/	52%	82%	0.8s	8.7s	93	738KB
962	http://www.marktplaats.nl/	93%	88%	3.2s	3.2s	9	153KB
963	http://www.ringtonematcher.com/	78%	74%	4.0s	4.0s	21	188KB
964	http://www.goal.com/	32%	39%	16.0s	32.8s	442	3.66MB
965	http://www.xs8.cn/	78%	76%	6.0s	7.4s	75	1.26MB
966	http://www.mthai.com/	76%	56%	13.8s	13.8s	268	7.85MB
967	http://www.clarin.com/	57%	59%	3.7s	13.7s	244	1.90MB
968	http://www.openoffice.org/	85%	76%	0.7s	0.7s	25	127KB
969	http://www.ciao.de/	35%	51%	8.0s	8.0s	328	1.73MB
970	http://www.jal.co.jp/	34%	50%	4.5s	8.9s	213	3.51MB
971	http://www.lyrics007.com/	93%	80%	2.3s	2.3s	26	348KB
972	http://www.ovguide.com/	68%	69%	9.8s	10.7s	95	530KB
973	http://www.ultimate-guitar.com/	57%	76%	2.7s	17.5s	298	1.37MB
974	http://www.mobile01.com/	46%	42%	11.6s	27.3s	296	5.05MB
975	http://www.vdisk.cn/	84%	77%	2.8s	2.8s	18	414KB
976	http://www.buy.com/	62%	65%	13.2s	19.6s	240	2.32MB
977	http://www.computerbild.de/	42%	51%	15.6s	17.3s	348	4.53MB
978	http://www.usgs.gov/	79%	64%	4.5s	5.2s	38	3.48MB
979	http://www.te3p.com/	94%	83%	489ms	490ms	7	76.5KB
980	http://www.cooks.com/	76%	61%	3.3s	4.1s	73	623KB
981	http://www.mcssl.com/	66%	53%	3.1s	4.0s	89	514KB
982	http://www.reverso.net/	44%	47%	12.5s	21.1s	333	1.36MB
983	http://www.merchantcircle.com/	91%	72%	2.1s	2.1s	34	1.17MB
984	http://www.tiancity.com/	54%	72%	11.2s	11.2s	106	3.35MB
985	http://www.dropbox.com/	86%	61%	5.8s	8.6s	187	2.30MB
986	http://www.yfrog.com/	79%	72%	2.9s	3.0s	29	1.01MB
987	http://www.tiscali.it/	12%	39%	28.5s	41.3s	719	6.52MB
988	http://www.xbox.com/	48%	53%	4.1s	9.8s	251	4.52MB
989	http://www.easy-share.com/	95%	80%	2.1s	2.1s	20	269KB
990	http://www.autotrader.com/	52%	49%	5.8s	9.9s	195	1.49MB
991	http://www.gotomeeting.com/	67%	67%	4.4s	5.8s	99	2.02MB
992	http://www.download-gate.com/	96%	84%	1.9s	1.9s	14	134KB
993	http://www.nfl.com/	47%	49%	14.2s	33.8s	304	2.17MB
994	http://www.experts-exchange.com/	84%	60%	4.3s	4.5s	61	1.00MB
995	http://www.cool.ne.jp/	53%	62%	12.0s		123	2.33MB
996	http://www.fx120.net/	72%	67%	7.2s	8.0s	70	1.31MB
997	http://www.ntv.co.jp/	34%	47%	6.7s	9.5s	157	5.67MB
998	http://www.meinvz.net/	61%	55%	5.2s	25.3s	137	0.99MB
999	http://www.king.com/	85%	82%	4.6s	4.6s	72	3.43MB
1000	http://www.virginmedia.com/	63%	54%	3.4s	15.0s	111	2.16MB
1001	http://www.google.com/	90%	94%	3.4s	4.0s	20	695KB
1002	http://www.youtube.com/	57%	71%	10.1s	30.3s	135	4.41MB
